@RELATION car_data_CSF_2018

@ATTRIBUTE length REAL
@ATTRIBUTE width REAL
@ATTRIBUTE vehicletype {,LG,MD,SM}

@DATA
179.4,71.6,MD
202.9,79.2,MD
191.4,78.5,MD
184.6,74,MD
193.1,74.2,MD
182.3,71,MD
196.4,77.2,MD
191.3,75.9,MD
182,73.2,MD
175.1,71.4,MD
189.8,76.5,MD
201.4,78.1,MD
184.4,74.2,MD
174.8,73,MD
177.1,75.1,MD
190.1,75.4,MD
196.8,81.6,MD
191,78.1,MD
192.1,74.2,MD
197,77.6,MD
182.3,73.6,MD
182.3,73.6,MD
187.8,74.2,MD
187.8,74.2,MD
179.2,73.4,MD
186.7,76,MD
179.3,72.4,MD
200.6,76.2,MD
180.5,68.9,MD
180.5,68.9,MD
184.5,71.8,MD
187.5,76.3,MD
201.6,76.4,MD
201.6,76.4,MD
202.6,76.4,MD
202.6,76.4,MD
178.3,74.3,MD
189.1,75.8,MD
189.1,75.8,MD
189.1,75.8,MD
189.1,75.8,MD
183.3,71.3,MD
183.3,71.3,MD
183.3,71.3,MD
183.3,71.3,MD
192.4,75.4,MD
186.3,68.1,MD
197.2,77.2,MD
200.8,77.6,MD
182.3,72.4,MD
178.7,72.8,MD
191.1,78.7,MD
184.3,76.1,MD
202.8,78.7,MD
187.5,72.1,MD
195,82.7,MD
180.9,70.7,MD
189.6,72.4,MD
175.2,70.1,MD
190.2,75.8,MD
191.1,75.8,MD
179.9,72.6,MD
200.2,78.2,MD
189,75,MD
174.5,71.2,MD
188.8,76.4,MD
188.8,76.4,MD
182.8,74.4,MD
190.5,73.6,MD
179.1,70.6,MD
179.1,70.6,MD
179.1,70.6,MD
179.1,70.6,MD
174.2,71.3,MD
174.2,71.3,MD
196.1,74.4,MD
196.1,74.4,MD
190.3,73,MD
190.3,73,MD
190.3,73,MD
175.4,70.7,MD
175.4,70.7,MD
175.4,70.7,MD
175.4,70.7,MD
175.4,70.7,MD
185.1,71.9,MD
185.1,71.9,MD
182.1,73,MD
182.1,73,MD
193.9,73.8,MD
193.9,73.8,MD
193.9,73.8,MD
193.9,73.8,MD
195.6,75.2,MD
195.6,75.2,MD
202.2,76.7,MD
202.2,76.7,MD
175,75,MD
174.4,75,MD
174.6,76,MD
174.6,75,MD
174.6,76,MD
185.7,71.9,MD
182.7,73,MD
182.7,73,MD
183,73.2,MD
183,73.2,MD
193.9,73.8,MD
195.6,75.2,MD
197.3,75.2,MD
202.2,76.7,MD
189.1,75,MD
189.2,76.5,MD
189.1,76.5,MD
189.2,76.5,MD
189.2,76.5,MD
189.2,76.5,MD
189.2,76.5,MD
189.2,76.5,MD
189.2,76.5,MD
184.9,50.8,MD
174.7,69.8,MD
175.9,69.8,MD
174.7,69.8,MD
175.9,69.8,MD
174.7,69.8,MD
174.7,69.8,MD
182.2,71.3,MD
182.2,71.3,MD
182.2,71.3,MD
182.2,71.3,MD
190,72,MD
182.1,71.5,MD
182.2,71.3,MD
182.2,71.3,MD
182.1,71.5,MD
182.2,71.3,MD
182.2,71.3,MD
182.2,71.3,MD
182.6,71.9,MD
182.6,71.9,MD
182.6,71.9,MD
182.6,71.9,MD
182.6,71.9,MD
182.6,71.9,MD
182.6,71.9,MD
182.6,71.9,MD
182.6,71.9,MD
182.6,71.9,MD
182.6,71.9,MD
182.6,71.9,MD
193.4,73.2,MD
193.4,73.2,MD
193.4,73.2,MD
193.4,73.2,MD
193.4,73.2,MD
193.4,73.2,MD
197.1,74.8,MD
197.1,74.8,MD
193.4,73.2,MD
193.4,73.2,MD
197.1,74.8,MD
197.1,74.8,MD
193.4,73.2,MD
192.8,74.6,MD
192.8,74.6,MD
192.8,74.6,MD
192.8,74.6,MD
192.8,74.6,MD
192.8,74.6,MD
192.8,74.6,MD
192.8,74.6,MD
197.2,74.6,MD
197.2,74.6,MD
197.2,74.6,MD
197.2,74.6,MD
197.1,74.6,MD
200.5,74.9,MD
200.5,74.9,MD
200,74.9,MD
200,74.9,MD
200,74.9,MD
184.5,73.9,MD
184.5,73.6,MD
193.5,74.4,MD
193,74.8,MD
193,74.8,MD
197.5,74.8,MD
197,73.1,MD
197,73.1,MD
197,73.1,MD
197,73.1,MD
197,73.1,MD
197,73.1,MD
190.2,73.1,MD
190.2,73.1,MD
190.2,73.1,MD
190.2,73.1,MD
190.2,73.1,MD
190.2,73.1,MD
190.2,73.1,MD
183.9,71.4,MD
183.9,71.4,MD
183.9,71.4,MD
183.9,71.4,MD
186.3,72.5,MD
186.3,72.5,MD
186.3,72.5,MD
186.3,72.5,MD
186.3,72.5,MD
186.3,72.5,MD
186.3,72.5,MD
186.3,72.5,MD
186.3,72.5,MD
186.3,72.5,MD
186.3,72.5,MD
186.3,72.5,MD
186.3,72.5,MD
186.3,72.5,MD
186.3,72.5,MD
182.8,71.1,MD
182.8,71.1,MD
182.8,71.1,MD
182.8,71.1,MD
182.8,71.1,MD
182.8,71.1,MD
182.8,71.1,MD
182.8,71.1,MD
182.8,71.1,MD
182.8,71.1,MD
182.8,71.1,MD
182.8,71.1,MD
182.8,71.1,MD
182.8,71.1,MD
182.8,71.1,MD
182.8,71.1,MD
195.5,72.2,MD
195.5,72.2,MD
195.5,72.2,MD
195.5,72.2,MD
195.5,72.2,MD
195.5,72.2,MD
195.5,72.2,MD
195.5,72.2,MD
195.5,72.2,MD
195.5,72.2,MD
195.5,72.2,MD
195.5,72.2,MD
195.5,72.2,MD
195.5,72.2,MD
195.5,72.2,MD
195.5,72.2,MD
188.5,74.1,MD
202,72.9,MD
202,72.9,MD
202,72.9,MD
202,72.9,MD
202,72.9,MD
202,72.9,MD
202,72.9,MD
202,72.9,MD
202,72.9,MD
190.6,75.5,MD
190.6,75.5,MD
190.6,75.5,MD
190.6,75.5,MD
190.6,75.5,MD
192.3,76.9,MD
190.6,75.5,MD
190.6,75.5,MD
190.6,75.5,MD
190.6,75.5,MD
190.6,75.5,MD
176.9,73.9,MD
176.9,73.9,MD
176.9,73.9,MD
176.9,73.9,MD
176.9,73.9,MD
181,70.7,MD
181,70.7,MD
181,70.7,MD
181,70.7,MD
181,70.7,MD
201.3,73,MD
201.3,73,MD
201.3,73,MD
201.3,73,MD
201.3,73,MD
201.3,73,MD
191.5,73,MD
191.5,73,MD
191.5,73,MD
191.5,73,MD
191.5,73,MD
195.5,74.7,MD
177.1,70.4,MD
192.3,73.6,MD
192.3,73.6,MD
192.3,73.6,MD
192.3,73.6,MD
192.3,73.6,MD
192.3,73.6,MD
192.3,73.6,MD
198.6,75,MD
198.6,75,MD
198.6,75,MD
198.6,75,MD
198.6,75,MD
198.6,75,MD
198.6,75,MD
198.6,75,MD
197.9,75.7,MD
197.9,75.7,MD
197.9,75.7,MD
197.9,75.7,MD
197.9,75.7,MD
198,75.7,MD
197.5,75.7,MD
198.4,75,MD
198.4,75,MD
198.4,75,MD
198.4,75,MD
198.4,75,MD
198.8,74.2,MD
198.8,74.2,MD
198.4,75,MD
199.9,75,MD
199.9,75,MD
183.9,72,MD
183.9,72,MD
183.9,72,MD
183.9,72,MD
183.9,72,MD
175.7,76.4,MD
175.7,76.4,MD
178.5,71.8,MD
178.5,71.8,MD
178.5,71.8,MD
191.7,72.9,MD
191.7,72.9,MD
191.7,72.9,MD
191.7,72.9,MD
191.7,72.9,MD
191.8,72.9,MD
191.8,72.9,MD
191.8,72.9,MD
191.8,72.9,MD
191.8,72.9,MD
188.3,75.4,MD
188.3,75.4,MD
188.3,75.4,MD
188.3,75.4,MD
188.3,75.4,MD
188.3,75.4,MD
188.3,75.4,MD
188.3,75.4,MD
188.3,75.4,MD
202.9,76.2,MD
202.9,76.2,MD
202.9,76.2,MD
202.9,76.2,MD
202.9,76.2,MD
202.9,76.2,MD
202.8,76.2,MD
202.8,76.2,MD
189.2,72.8,MD
189.2,72.8,MD
189.2,72.8,MD
189.2,72.8,MD
189.2,72.8,MD
191.4,72.8,MD
191.4,72.8,MD
191.4,72.8,MD
191.4,72.8,MD
191.4,72.8,MD
191.4,72.8,MD
192.2,72.8,MD
192.2,72.8,MD
192.2,72.8,MD
192.2,72.8,MD
177.9,69,MD
177.9,69,MD
177.9,69,MD
178.8,69,MD
179.4,69,MD
179.4,69,MD
179.4,69,MD
179.4,69,MD
179.4,69,MD
179.4,69,MD
179.4,69,MD
179.4,69,MD
193.3,73.2,MD
193.3,73.2,MD
179.1,69.9,MD
179.1,69.9,MD
179.1,69.9,MD
203.1,74.4,MD
203.1,74.4,MD
182.3,73.4,MD
182.3,73.4,MD
182.3,73.4,MD
196.5,74.4,MD
196.5,74.4,MD
196.5,74.4,MD
191.1,73.4,MD
191.1,73.4,MD
191.1,73.4,MD
191.1,73.4,MD
191.1,73.4,MD
189.8,72.2,MD
189.8,72.2,MD
188.3,71.8,MD
188.3,71.8,MD
188.3,71.8,MD
188.3,71.8,MD
189.1,71.8,MD
189.1,71.8,MD
188.3,71.8,MD
188.3,71.8,MD
189.1,71.8,MD
189.1,71.8,MD
183.1,71.8,MD
183.1,71.8,MD
183.7,71.8,MD
183.7,71.8,MD
183.7,71.8,MD
183.3,72.9,MD
184,72.9,MD
185.3,72.9,MD
196.1,72.6,MD
196.1,72.6,MD
196.1,72.6,MD
196.1,72.6,MD
202,72.6,MD
202,72.6,MD
202,72.6,MD
202,72.6,MD
196.1,72.6,MD
176,75.7,MD
176,75.7,MD
176,75.7,MD
176,75.7,MD
176,75.7,MD
176,75.7,MD
195.3,73.9,MD
195.3,73.9,MD
195.3,71.6,MD
195.3,71.6,MD
195.3,71.6,MD
195.3,71.6,MD
195.3,71.6,MD
195.3,71.6,MD
201.9,74.6,MD
201.9,74.6,MD
201.9,74.6,MD
201.9,74.6,MD
188.7,74.5,MD
188.7,74.5,MD
188.7,74.5,MD
188.7,74.5,MD
188.7,74.5,MD
188.7,74.5,MD
195.5,72.8,MD
195.5,72.8,MD
178.3,70.1,MD
178.3,70.1,MD
179.5,70.1,MD
179.5,70.1,MD
200.6,74.8,MD
200.6,74.8,MD
190.7,72.1,MD
190.7,72.1,MD
190.7,72.1,MD
190.7,72.1,MD
190.7,72.1,MD
190.7,72.1,MD
190.7,72.1,MD
192.7,71.7,MD
192.7,71.7,MD
190.7,72.4,MD
190.7,72.4,MD
190.7,72.4,MD
190.7,72.4,MD
183.7,71.3,MD
183.7,71.3,MD
182.5,70.9,MD
183.7,71.3,MD
183.7,71.3,MD
182.5,70.9,MD
184.8,72.4,MD
184.8,72.4,MD
200,73.8,MD
200,73.8,MD
194.1,73.4,MD
194.1,73.4,MD
194.1,73.4,MD
194.1,73.4,MD
194.1,73.4,MD
194.1,73.4,MD
180.3,70.7,MD
180.3,70.7,MD
180.3,70.7,MD
180.3,70.7,MD
180.3,70.7,MD
180.3,70.7,MD
175.6,70.7,MD
175.6,70.7,MD
175.6,70.7,MD
175.6,70.7,MD
175.6,70.7,MD
191.5,72.4,MD
191.5,72.4,MD
191.5,72.4,MD
180.7,69.7,MD
180.7,69.7,MD
180.7,69.7,MD
185.3,69.7,MD
184.5,71.3,MD
184.5,71.3,MD
184.5,71.3,MD
184.5,71.3,MD
184.5,71.3,MD
184.5,71.3,MD
184.5,71.3,MD
194.5,74.1,MD
194.5,74.1,MD
194.5,74.1,MD
194.5,74.1,MD
185,70.3,MD
185,70.3,MD
185,70.3,MD
185,70.3,MD
185,70.3,MD
192.1,73,MD
192.1,73,MD
192.1,73,MD
192.1,73,MD
192.7,73,MD
192.1,73,MD
192.1,73,MD
192.9,73.7,MD
192.9,73.7,MD
193.4,70.3,MD
192.1,70.3,MD
197.9,74.8,MD
198.6,75.3,MD
181.6,73.9,MD
181.6,73.9,MD
182.4,82.6,MD
182.4,82.6,MD
182.6,76.3,MD
182.6,76.3,MD
180,69.4,MD
180,69.4,MD
180,69.4,MD
180,69.4,MD
177,71.3,MD
177,71.3,MD
191.5,72,MD
191.5,72,MD
191.5,72,MD
191.5,72,MD
191.5,72,MD
191.5,72,MD
191.5,72,MD
183.8,74.6,MD
183.8,74.6,MD
183.8,74.6,MD
183.8,74.6,MD
182.1,69.3,MD
182.1,69.3,MD
182.1,69.3,MD
182.5,69.3,MD
182.1,69.3,MD
175.4,66.7,MD
175.4,66.7,MD
175.4,66.7,MD
175.4,66.7,MD
197.4,76,MD
197.4,76,MD
197.4,76,MD
197.4,76,MD
203.4,76,MD
197.4,76,MD
197.4,76,MD
203.3,76,MD
197.4,76,MD
203.3,76,MD
197.4,76,MD
176.8,71.2,MD
176.8,71.2,MD
177.5,72.9,MD
176.8,72.9,MD
176.8,71.2,MD
177.5,72.9,MD
176.8,72.9,MD
176.8,71.2,MD
178.9,72.9,MD
176.8,71.2,MD
176.8,71.2,MD
177.5,72.9,MD
176.8,71.2,MD
176.8,71.2,MD
177.5,72.9,MD
177.4,74,MD
177.4,74,MD
177.4,74,MD
177.4,74,MD
182.8,76.4,MD
182.8,76.4,MD
176.6,70.7,MD
180.5,68.5,MD
180.5,68.5,MD
180.5,68.5,MD
174,68.5,MD
174,68.5,MD
174,68.5,MD
174,68.5,MD
174,68.5,MD
180.9,70.7,MD
180.9,70.7,MD
180.9,70.7,MD
180.9,70.7,MD
180.3,68.5,MD
180.3,68.5,MD
188.8,72.4,MD
188.8,72.4,MD
188.8,72.4,MD
188.8,72.4,MD
195.2,72.2,MD
195.2,72.2,MD
195.2,72.2,MD
195.2,72.2,MD
195.2,72.2,MD
195.2,72.2,MD
195.2,72.2,MD
195.2,72.2,MD
190.9,71.7,MD
190.9,71.7,MD
190.9,71.7,MD
190.9,71.7,MD
190.9,71.7,MD
190.9,71.7,MD
190.9,71.7,MD
190.9,71.7,MD
190.9,71.7,MD
182.6,69.9,MD
182.6,69.9,MD
182.6,69.9,MD
182.6,69.9,MD
183.1,69.9,MD
183.1,69.9,MD
183.1,69.9,MD
182.6,69.9,MD
182.6,69.9,MD
182.6,69.9,MD
176.4,68.7,MD
176.4,68.7,MD
176.4,68.7,MD
176.4,68.7,MD
176.4,68.7,MD
176.4,68.7,MD
182.3,69.9,MD
182.3,69.9,MD
182.3,69.9,MD
182.3,69.9,MD
176.4,68.7,MD
176.4,68.7,MD
189.1,73,MD
189.1,73,MD
189.1,73,MD
189.1,73,MD
174.1,70.5,MD
174.1,70.5,MD
174.1,70.5,MD
183.3,70,MD
183.3,70,MD
183.3,70,MD
183.3,70,MD
183.3,70,MD
183.3,70,MD
183.3,70,MD
183.3,70,MD
182.2,70,MD
182.2,70,MD
179.6,70.8,MD
179.6,70.8,MD
179.6,70.8,MD
179.6,70.8,MD
179.6,70.8,MD
179.6,70.8,MD
182.8,70,MD
191.6,72.2,MD
191.6,72.2,MD
191.6,72.2,MD
191.6,72.2,MD
191.6,72.2,MD
191.6,72.2,MD
191.6,72.2,MD
191.6,72.2,MD
182.5,73.4,MD
182.5,73.4,MD
182.5,73.4,MD
182.5,73.4,MD
182.5,73.4,MD
182.5,73.4,MD
182.5,73.4,MD
182.5,73.4,MD
182.5,73.4,MD
182.5,73.4,MD
182.5,73.4,MD
182.5,73.4,MD
182.5,73.4,MD
182.5,73.4,MD
182.5,73.4,MD
182.5,73.4,MD
182.5,73.4,MD
182.5,73.4,MD
182.5,73.4,MD
182.5,73.4,MD
182.5,73.4,MD
182.5,73.4,MD
182.5,73.4,MD
191.1,73.3,MD
191.1,73.3,MD
191.1,73.3,MD
191.1,73.3,MD
191.1,73.3,MD
191.1,73.3,MD
193.6,77.2,MD
193.6,77.2,MD
183.5,73.7,MD
183.5,73.7,MD
185.9,72.5,MD
182.6,74.7,MD
182.6,74.7,MD
182.6,74.7,MD
182.6,74.7,MD
200.3,78.1,MD
183,75.2,MD
176.5,70.8,MD
183.8,74.1,MD
193.2,76.3,MD
193.2,76.3,MD
193.8,78.3,MD
201.9,79,MD
203.9,80.5,MD
190.3,75.2,MD
180.1,72.8,MD
186.3,68.1,MD
187.8,72.5,MD
203.7,78.5,MD
202.8,78.7,MD
201.2,75.8,MD
202.8,78.7,MD
192.4,72.2,MD
188.1,75.9,MD
197.1,78.9,MD
200.8,78.9,MD
173.2,71.7,SM
173.8,69.2,SM
166.6,71,SM
152.8,73.7,SM
173.4,73.9,SM
171.5,74.8,SM
173.9,71,SM
173.9,71,SM
161.7,70.4,SM
162,70.3,SM
169.1,69.7,SM
169.1,69.7,SM
169.1,69.7,SM
162.4,69.5,SM
157.5,73.5,SM
157.5,73.5,SM
165.3,72.5,SM
165.3,72.5,SM
165.3,72.5,SM
165.3,72.5,SM
157.8,69.9,SM
166.9,70.5,SM
166.9,70.5,SM
167.1,70.5,SM
173.1,68.3,SM
173.1,68.3,SM
173.1,68.3,SM
173.1,68.3,SM
159,68.3,SM
159,68.3,SM
159,68.3,SM
144.7,62.9,SM
144.7,62.9,SM
139.6,64.1,SM
139.6,64.1,SM
139.6,64.1,SM
144.4,64.1,SM
139.6,64.1,SM
139.6,64.1,SM
144.4,64.1,SM
144.4,64.1,SM
167.3,69.8,SM
167.3,69.8,SM
167.3,69.8,SM
167.3,69.8,SM
173.6,72,SM
173.6,72,SM
173.6,72,SM
173.5,67.8,SM
173.5,67.8,SM
173.5,67.8,SM
159.7,67.8,SM
159.7,67.8,SM
159.7,67.8,SM
160.1,67.8,SM
171.6,71.8,SM
171.6,71.8,SM
171.7,71.8,SM
160.5,68.5,SM
160.5,68.5,SM
160.5,68.5,SM
160.5,68.5,SM
160,67,SM
160,67,SM
160,67,SM
172,66.9,SM
162,66.9,SM
162,66.9,SM
166.1,70.5,SM
166.1,70.5,SM
166.1,70.5,SM
167.3,71.1,SM
167.3,71.1,SM
171.3,70.1,SM
171.3,70.1,SM
171.9,67.7,SM
171.9,67.7,SM
171.9,67.7,SM
159.3,67.7,SM
159.3,67.7,SM
159.3,67.7,SM
163,70.9,SM
163,70.9,SM
163,70.9,SM
171.2,69.5,SM
157.3,67.7,SM
157.3,67.7,SM
157.3,67.7,SM
157.3,67.7,SM
157.3,67.7,SM
157.3,67.7,SM
162.8,71.5,SM
162.8,71.5,SM
163.2,71.5,SM
151.1,68,SM
151.9,68,SM
157.4,68,SM
157.4,68,SM
146.6,66.3,SM
146.8,66.3,SM
147,66.3,SM
148,66.3,SM
146.8,66.3,SM
147,66.3,SM
162.2,70.3,SM
162.2,70.3,SM
162.2,70.3,SM
147,66.3,SM
148,66.3,SM
147,66.3,SM
162.8,70.3,SM
148.8,65.6,SM
148.8,65.6,SM
167.5,72.6,SM
167.5,72.6,SM
167.5,72.6,SM
167.5,72.6,SM
170.5,73.6,SM
170.5,73.6,SM
167.2,72.6,SM
167.2,72.6,SM
167.2,72.6,SM
163,66.7,SM
163,66.7,SM
163,66.7,SM
163,66.7,SM
163,66.7,SM
172.4,70.9,SM
172.4,70.9,SM
173.4,70.9,SM
172.4,70.9,SM
172.4,70.9,SM
173.4,70.9,SM
166.7,69.9,SM
120.1,66.1,SM
120.1,66.1,SM
168.1,69.3,SM
106.1,61.4,SM
106.1,61.4,SM
106.1,61.4,SM
166.7,69.9,SM
166.7,69.9,SM
166.7,69.9,SM
173.8,70.7,SM
157.3,66.7,SM
157.3,66.7,SM
157.3,66.7,SM
157.3,66.7,SM
155.5,66.7,SM
155.5,66.7,SM
155.5,66.7,SM
155.5,66.7,SM
155.5,66.7,SM
168.4,71.2,SM
168.4,71.2,SM
168.4,71.2,SM
168.4,71.2,SM
168.4,71.2,SM
168.4,71.2,SM
168.4,71.2,SM
167.5,70.5,SM
167.5,70.5,SM
167.5,70.8,SM
167.5,70.8,SM
167.5,70.8,SM
167.5,70.8,SM
167.5,70.8,SM
167.5,70.8,SM
168,70.5,SM
168,70.8,SM
168,70.5,SM
168,70.8,SM
168,70.8,SM
168.5,69.9,SM
168.5,69.9,SM
173.9,72.2,SM
,,
,,
